R,Player,Age,Continet,Team,TeamA,TeamB,TeamC,Position,FW,MF,DF,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS,AerialsWon,MotM,Rating,Rating2,Drb,Tackles,Blocks,Clear,Inter
63,Trent Alexander0Arnold ,19,1,Liverpool  ,1,0,0,DF,0,0,1,18(1),1576,1,1,3,0,0.6,77.3,0.3,0,7.02,5.82,1.1,1.9,0.3,2.1,1.5
64,Luka Milivojevic ,27,1,Crystal Palace ,0,1,0,MF,0,0,0,35(1),3082,10,1,8,0,1.2,80.2,1.4,1,7.01,6.27,0.8,2.4,0.3,2.1,2
65,Craig Dawson ,28,1,West Bromwich Albion,0,0,1,DF,0,0,1,28,2509,2,0,6,0,0.6,69.5,4.1,4,7.01,6.25,0.3,1.4,0.9,4.7,1.9
66,Willian  ,29,0,Chelsea  ,1,0,0,MF,0,0,0,20(16),1883,6,7,1,0,1.5,80.2,0.3,4,7.01,6.3,1.9,0.6,0,0.3,0.3
67,Abdoulaye Doucour? ,25,0,Watford  ,0,1,0,MF,0,0,0,37,3325,7,3,10,0,1.3,83.6,1.2,1,7,6.11,1.1,2.1,0.3,1.5,1.5
68,Dejan Lovren ,29,1,Liverpool  ,1,0,0,DF,0,0,1,24(5),2125,2,1,4,0,0.5,88.5,3.6,2,6.99,6.49,0,0.9,0.5,4.9,1.3
69,Son Heung0Min ,26,0,Tottenham  ,1,0,0,FW,1,0,0,27(10),2312,12,6,0,0,2,85.2,0.1,3,6.99,6.11,1.6,0.5,0,0.2,0.3
70,Ahmed Hegazi ,27,0,West Bromwich Albion,0,0,1,DF,0,0,1,38,3387,2,0,4,0,0.4,73.2,2.7,3,6.98,6.65,0.6,1.6,1,7.2,1.6
71,Jamie Vardy ,31,1,Leicester  ,0,1,0,FW,1,0,0,37,3258,20,1,3,0,1.9,60.5,2.1,0,6.98,5.9,0.6,0.4,0,0.5,0.1
72,Cuco Martina ,28,1,Everton  ,0,1,0,DF,0,0,1,20(1),1831,0,2,1,0,0.1,77.9,1.1,0,6.98,6.61,0.1,2.9,0.2,5.6,2
73,Matthew Lowton ,29,1,Burnley  ,0,1,0,DF,0,0,1,25(1),2295,0,3,1,0,0.2,68.9,1.3,1,6.97,6.11,0.4,2.1,0.6,4.3,1.5
74,Simon Francis ,33,1,Bournemouth  ,0,1,0,DF,0,0,1,31(1),2710,0,1,8,1,0.4,73.5,4.4,1,6.96,6.09,0.3,1.5,0.6,5.5,1.5
75,Eric Dier ,24,1,Tottenham  ,1,0,0,MF,0,0,0,32(2),2827,0,2,4,0,0.9,86.3,2.4,0,6.96,6.19,0.4,1.8,0.3,2.4,1.4
76,Idrissa Gueye ,28,0,Everton  ,0,1,0,MF,0,0,0,32(1),2757,2,1,6,1,0.7,84.7,1,1,6.95,6.58,0.5,3.5,0.3,1.3,1.9
77,Jordan Henderson ,28,1,Liverpool  ,1,0,0,MF,0,0,0,25(2),2173,1,1,1,0,0.6,84.4,1,0,6.95,6.35,0.3,1.9,0.1,0.7,1.1
78,Davinson S?nchez ,22,0,Tottenham  ,1,0,0,DF,0,0,1,29(2),2535,0,0,1,1,0.3,89.4,2.4,0,6.94,6.07,0.3,1.2,0.3,5.1,1.2
79,Michael Keane ,25,1,Everton  ,0,1,0,DF,0,0,1,29(1),2561,0,1,3,0,0.5,77.8,4.3,0,6.94,6.3,0.2,1.1,0.9,6.9,1.8
80,?lvaro Morata ,25,1,Chelsea  ,1,0,0,FW,1,0,0,24(7),2067,11,6,7,0,2.5,73.3,1.7,1,6.94,5.96,1,0.4,0.1,0.6,0.2
81,Christian Kabasele ,27,1,Watford  ,0,1,0,DF,0,0,1,27(1),2332,2,0,5,0,0.4,74.8,3.7,2,6.93,6.3,0.1,1.5,0.8,6.2,1.2
82,Mario Lemina ,24,0,Southampton  ,0,0,1,MF,0,0,0,20(5),1723,1,1,2,0,0.9,87.8,1,3,6.93,6.5,2.2,2.2,0.2,1.3,1.4
