salary,career,performance
12000.000 ,8.000 ,-3.562 
12000.000 ,11.000 ,-4.400 
80000.000 ,18.000 ,-4.064 
15000.000 ,4.000 ,-3.838 
45000.000 ,13.000 ,-0.920 
7500.000 ,0.000 ,-2.634 
12500.000 ,4.000 ,-5.171 
100000.000 ,9.000 ,-1.429 
150000.000 ,11.000 ,5.780 
30000.000 ,6.000 ,3.958 
21000.000 ,5.000 ,-1.074 
28000.000 ,8.000 ,4.156 
50000.000 ,13.000 ,2.422 
80000.000 ,17.000 ,1.554 
60000.000 ,13.000 ,-0.672 
35000.000 ,10.000 ,0.121 
35000.000 ,11.000 ,-0.857 
25000.000 ,11.000 ,0.458 
45000.000 ,16.000 ,1.934 
60000.000 ,15.000 ,-2.822 
52000.000 ,7.000 ,2.385 
50000.000 ,12.000 ,-1.931 
40000.000 ,13.000 ,-0.298 
31000.000 ,6.000 ,-1.583 
22000.000 ,7.000 ,3.035 
20000.000 ,3.000 ,-2.216 
34000.000 ,8.000 ,-1.087 
18000.000 ,4.000 ,-1.674 
14000.000 ,9.000 ,-2.811 
15500.000 ,2.000 ,-1.756 
17000.000 ,3.000 ,-2.794 
15000.000 ,4.000 ,-0.850 
55000.000 ,8.000 ,-0.124 
18000.000 ,5.000 ,-3.358 
20000.000 ,8.000 ,-3.815 
28000.000 ,10.000 ,-1.361 
7700.000 ,0.000 ,-2.249 
55000.000 ,7.000 ,-2.446 
18000.000 ,16.000 ,-1.270 
10700.000 ,10.000 ,-4.241 
20500.000 ,8.000 ,-2.983 
15000.000 ,4.000 ,-3.230 
10200.000 ,3.000 ,-2.685 
14000.000 ,8.000 ,-0.608 
8700.000 ,3.000 ,-3.903 
8500.000 ,2.000 ,-3.685 
19700.000 ,6.000 ,-4.982 
